         88806525 function calls (86741999 primitive calls) in 61.441 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    66302    0.036    0.000    0.390    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:2073(array_values)
    66333    0.068    0.000    0.370    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/missing.py:309(_isna_string_dtype)
    33177    0.137    0.000    0.365    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:1168(take)
    66440    0.104    0.000    0.362    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:290(full)
    66302    0.060    0.000    0.355    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:1908(array_values)
   232444    0.172    0.000    0.354    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:676(_sanitize_ndim)
    66302    0.045    0.000    0.349    0.000 {method 'all' of 'numpy.ndarray' objects}
    66350    0.191    0.000    0.345    0.000 /usr/lib/python3/dist-packages/pandas/core/array_algos/take.py:554(_take_preprocess_indexer_and_fill_value)
   165865    0.211    0.000    0.340    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:690(_simple_new)
   232351    0.272    0.000    0.336    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:597(_get_root)
    66307    0.031    0.000    0.329    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:47(_sum)
    99542    0.055    0.000    0.322    0.000 {method 'any' of 'numpy.ndarray' objects}
    66330    0.058    0.000    0.306    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:501(is_categorical_dtype)
    66302    0.026    0.000    0.304    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:61(_all)
    66333    0.301    0.000    0.301    0.000 {built-in method pandas._libs.missing.isnaobj}
   232351    0.097    0.000    0.298    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:650(_warn_if_deprecated)
    66302    0.028    0.000    0.297    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:561(_can_hold_na)
   663020    0.245    0.000    0.296    0.000 /usr/lib/python3/dist-packages/pandas/core/base.py:168(__setattr__)
    66388    0.121    0.000    0.295    0.000 /usr/lib/python3/dist-packages/pandas/core/base.py:742(__iter__)
    66302    0.144    0.000    0.294    0.000 /usr/lib/python3/dist-packages/pandas/core/arrays/numpy_.py:69(__init__)
    66406    0.124    0.000    0.294    0.000 /usr/lib/python3/dist-packages/numpy/core/_ufunc_config.py:33(seterr)
   232186    0.098    0.000    0.290    0.000 /usr/lib/python3/dist-packages/pandas/core/common.py:566(require_length_match)
   497713    0.254    0.000    0.284    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:461(ensure_wrapped_if_datetimelike)
   464702    0.278    0.000    0.278    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:611(_get_deprecated_option)
   132654    0.158    0.000    0.275    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:585(is_dtype_equal)
    66302    0.050    0.000    0.275    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:352(is_datetime64tz_dtype)
   464847    0.242    0.000    0.272    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:2069(internal_values)
    66302    0.155    0.000    0.270    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:2082(_can_hold_na)
    99542    0.034    0.000    0.267    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:55(_any)
  2190702    0.258    0.000    0.259    0.000 {built-in method builtins.issubclass}
   232346    0.099    0.000    0.256    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/inference.py:188(is_array_like)
   464718    0.255    0.000    0.255    0.000 /usr/lib/python3/dist-packages/pandas/core/flags.py:49(__init__)
   232478    0.112    0.000    0.251    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:7372(maybe_extract_name)
    36/26    0.000    0.000    0.240    0.009 /usr/lib/python3/dist-packages/pandas/util/_decorators.py:170(wrapper)
   199044    0.173    0.000    0.240    0.000 /usr/lib/python3/dist-packages/pandas/core/indexing.py:2656(check_deprecated_indexers)
    66302    0.026    0.000    0.238    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:666(values)
    66302    0.054    0.000    0.237    0.000 <__array_function__ internals>:177(atleast_1d)
   232342    0.161    0.000    0.235    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:861(is_empty_data)
   530687    0.145    0.000    0.230    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1556(get_dtype)
    99497    0.230    0.000    0.230    0.000 {built-in method pandas._libs.lib.is_datetime_array}
       16    0.000    0.000    0.229    0.014 /usr/lib/python3/dist-packages/pandas/io/parsers/readers.py:854(read_csv)
       16    0.001    0.000    0.228    0.014 /usr/lib/python3/dist-packages/pandas/io/parsers/readers.py:571(_read)
       16    0.000    0.000    0.221    0.014 /usr/lib/python3/dist-packages/pandas/io/parsers/readers.py:1762(read)
    66302    0.112    0.000    0.212    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:2065(external_values)
    33198    0.047    0.000    0.211    0.000 /usr/lib/python3/dist-packages/pandas/core/frame.py:609(__init__)
  1029175    0.194    0.000    0.211    0.000 {pandas._libs.lib.is_list_like}
    33203    0.039    0.000    0.206    0.000 /usr/lib/python3/dist-packages/numpy/core/_ufunc_config.py:430(__enter__)
   464909    0.162    0.000    0.202    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:7277(ensure_index)
    66426    0.067    0.000    0.199    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:684(is_integer_dtype)
    66302    0.065    0.000    0.197    0.000 /usr/lib/python3/dist-packages/pandas/util/_validators.py:141(validate_kwargs)
  1294566    0.197    0.000    0.197    0.000 {built-in method builtins.hash}
    99500    0.027    0.000    0.191    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:764(__len__)
    66305    0.081    0.000    0.189    0.000 /usr/lib/python3/dist-packages/numpy/core/numerictypes.py:356(issubdtype)
    66303    0.078    0.000    0.188    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1204(is_numeric_dtype)
    66508    0.099    0.000    0.188    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1917(from_blocks)
    66555    0.091    0.000    0.186    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/inference.py:266(is_dict_like)
    66389    0.051    0.000    0.185    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1267(_set_as_cached)
    99505    0.176    0.000    0.184    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:5254(__contains__)
   332047    0.182    0.000    0.182    0.000 /usr/lib/python3/dist-packages/pandas/core/flags.py:85(allows_duplicate_labels)
    66541    0.077    0.000    0.181    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1246(is_float_dtype)
    66362    0.125    0.000    0.176    0.000 /usr/lib/python3/dist-packages/numpy/core/_dtype.py:344(_name_get)
       16    0.000    0.000    0.174    0.011 /usr/lib/python3/dist-packages/pandas/io/parsers/c_parser_wrapper.py:218(read)
    66308    0.173    0.000    0.173    0.000 {pandas._libs.lib.infer_datetimelike_array}
        1    0.020    0.020    0.172    0.172 /home/dvidal1205-ld/Documents/research/AS-Quant/methods.py:201(merge_ChromDict)
    66440    0.068    0.000    0.171    0.000 <__array_function__ internals>:177(copyto)
    66302    0.019    0.000    0.171    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/inference.py:137(is_re)
    33203    0.043    0.000    0.170    0.000 /usr/lib/python3/dist-packages/numpy/core/_ufunc_config.py:435(__exit__)
   465173    0.111    0.000    0.167    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:148(<lambda>)
    33378    0.022    0.000    0.154    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:5973(_consolidate_inplace)
    99664    0.058    0.000    0.152    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:846(__array__)
   232444    0.100    0.000    0.149    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:733(_maybe_repeat)
       16    0.146    0.009    0.148    0.009 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
    66307    0.147    0.000    0.147    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:836(_slice)
    33084    0.114    0.000    0.146    0.000 /home/dvidal1205-ld/Documents/research/AS-Quant/methods.py:31(MergeIntervals)
   232351    0.066    0.000    0.143    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:638(_translate_key)
